7,Part No.,Cell,Cust,Tech,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
8,,,,,(sec/pc),,,,,,
153,7V1420-7080,S12A,U006,,37.924517552167195,41.31749374264339, , , , ,
154,7V2500-7080,S12A,C028,,36.68701755216719,41.31749374264339, , , , ,
155,7V1500-7080,S12A,C028,,36.68701755216719,41.31749374264339, , , , ,
156,7V1210-7080,S12A,C007,,48.262317552167204,49.707141361691, , , , ,
157,7V2210-7080,S12A,C007,,48.262317552167204,49.707141361691, , , , ,
158,7V1380-7081,S12A,C007,,48.262317552167204,49.707141361691, , , , ,
159,7V2380-7081,S12A,C007,,48.262317552167204,49.707141361691, , , , ,
160,7V2420-7080,S12B,U006,,33.74881960784314,38.37929579831934, , , , ,
161,7V1420-7080,S12B,C007&U006,,34.98631960784314,38.37929579831934, , , , ,
162,7V2420-7080,S12B,C007,,32.98166666666667,37.61214285714287, , , , ,
163,7V1780-7081,SA15,,,31.097,34.1, , , , ,
164,7V2780-7081,SA15,,,31.097,34.1, , , , ,
165,730428-0720,SA16,,,17.1974, , , , , ,
166,730428-0730,SA16,,,17.1974, , , , , ,
167,A3948B,SA4,,, , ,24.62, , , ,
168,7P0781-7010 ,AA06,,, ,10, , , , ,
169,7P0779-7040,AA06,,,36.3,, , , , ,
170,7P0734-7110,A6S5,,, , ,41.998000000000005, , , ,
171,7P0782-7030,A6S6,,, , ,40.953, , , ,
172,7P0745-7090,A6S2,,, ,36.498000000000005, , , , ,
173,7P0783-7010,AA06,,, ,9.999, , , , ,
174,7P0767-7012,AA06,,, ,9.999, , , , ,
175,7P0769-7011,AA06,,, ,9.999, , , , ,
176,7P0779-7011,AA06,,, ,9.999, , , , ,
177,A4464D,AA06,,, ,9.999, , , , ,
178,A4465D,AA06,,, ,9.999, , , , ,
179,A4466D,AA06,,, ,9.999, , , , ,
180,A4467D,AA06,,, ,9.999, , , , ,
181,A3948A,A6S1,,, ,29, , , , ,
182,7P0782-7020,A6B,,, ,7.660800000000001, , , , ,
183,A4556E,A6B,,, ,7.660800000000001, , , , ,
184,A4554D,A6B,,, ,7.660800000000001, , , , ,
185,7P0770-7013,A6B,,, ,7.660800000000001, , , , ,
186,A4544E,A6B,,, ,7.660800000000001, , , , ,
187,7F0010-1110,SA6,U455,TRMX,19.537861497496632, , , , , ,
188,7F0010-1120,SA6,U455,TRMX,19.25, , , , , ,
189,7F0010-1130,SA6,U455,TRMX,19.537861497496632, , , , , ,
190,7F0010-7330,AC1/AC2/AC3,,D14, , , , , , ,
191,7F0010-7340,AC1/AC2/AC3,,D14, , , , , , ,
192,7F0010-7350,AC1/AC2/AC3,,D14, , , , , , ,
193,7F0010-7250,AC1/AC2/AC3,,D14, , , , , , ,
194,7F0010-7170,AC1/AC2/AC3,,D14, , , , , , ,
195,7F0010-7180,AC1/AC2/AC3,,D14, , , , , , ,
196,7F0010-7070,AC1/AC2/AC3,,D14, , , , , , ,
197,7F0010-7080,AC1/AC2/AC3,,D14, , , , , , ,
198,7F0010-7680,AC1/AC2/AC3,,D13, , , , , , ,
199,7F0010-7660,AC1/AC2/AC3,,D13, , , , , , ,
200,7F0010-7690,AC1/AC2/AC3,,D13, , , , , , ,
201,7F0010-7670,AC1/AC2/AC3,,D13, , , , , , ,
202,7F0010-7630,AC1/AC2/AC3,,D14, , , , , , ,
203,7F0010-7090,AC1/AC2/AC3,,D13/D11, , , , , , ,
204,7F0010-7100,AC1/AC2/AC3,,D13/D11, , , , , , ,
205,7F0010-7130,AC1/AC2/AC3,,D13/D11, , , , , , ,
206,7F0010-7140,AC1/AC2/AC3,,D13/D11, , , , , , ,
207,7F0010-7010,AC1/AC2/AC3,,D13/D11, , , , , , ,
208,7F0010-7590,AC1/AC2/AC3,,D13/D11, , , , , , ,
209,7F0010-7600,AC1/AC2/AC3,,D13/D11, , , , , , ,
