Tech,Cell,Destination,Cdn Holiday BA,Dock code,PROGRAM,Vehicle,Cust part #,CUST #,BPCS#,Dest,QPC,Misc,Back no,QSS Item,CF0816,AF0816,CF0823,AF0823,CF0830,AF0830,CF0906,AF0906,CF0913,AF0913,CF0920,AF0920,CF0927,AF0927,CF1004,AF1004,CF1011,AF1011,CF1018,AF1018,CF1025,AF1025,CF1101,AF1101,CF1108,AF1108,CF1115,AF1115,CF1122,AF1122,CF1129,AF1129,CF1206,AF1206,CF1213,AF1213,CF1220,AF1220,CF1227,AF1227,CF0103,AF0103,CF0110,AF0110,CF0117,AF0117,CF0124,AF0124,1 week dem,Daily hej level,1 week WD,1 day PINK,DLN,Batch ordering,Status,On heijunka,Part# check
Misc,capco HA,MEX,N,TMMAA,989A,Tacoma,732000C02000,U041,300041,TMMBC,20,Volume shift TMMTX to GT & BC,A1R3,A2908,5830,5830,5590,5590,5590,5590,5836,5836,5830,5830,4666,4666,5832,5832,6860,6860,6860,6860,6854,6854,6850,6850,6879,6879,6863,6863,6870,6870,6866,5493,6866,6866,6866,6866,6866,6866,6866,4120,0,0,6866,6866,6866,6866,6866,6866,6866,6866,"5,830","1,166",5.00,61,N,N,-,No,#REF!
Misc,Belttech,USA,N,TMMG1,480A,Tundra,737090C01000,U044,300044,TMMTX,32,BO Oct 12 2021,G3Z3,A1248-201B,1734,1734,1721,1721,1511,1511,2368,2368,3081,3081,3105,3105,3104,3104,1995,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,734",347,5.00,11,N,N,-,No,#REF!
D13,F43,USA,Y,TMMG1,989A,Tacoma,7321004260C0,U044,300044,TMMTX,6,BO TMMTX Tacoma Sep 03 2021,G654,A1502-105B,865,865,860,860,958,958,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,173,5.00,30,N,N,-,Yes,#REF!
D13,F43,USA,Y,TMMG1,989A,Tacoma,7321004260C1,U044,300044,TMMTX,6,BO TMMTX Tacoma Sep 03 2021,G656,A1502-201B,658,658,664,664,743,743,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,132,5.00,23,N,N,-,Yes,#REF!
D13,F44,USA,Y,TMMG1,989A,Tacoma,7322004260C0,U044,300044,TMMTX,6,BO TMMTX Tacoma Sep 03 2021,G658,A1507-105B,865,865,860,860,958,958,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,173,5.00,30,N,N,-,Yes,#REF!
D13,F43,USA,Y,TMMG1,989A,Tacoma,7322004260C1,U044,300044,TMMTX,6,BO TMMTX Tacoma Sep 03 2021,G666,A1507-201B,658,658,664,664,743,743,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,132,5.00,23,N,N,-,Yes,#REF!
Misc,capco HA,USA,N,TMMG1,480A 989A,Tacoma Tundra,732000C02000,U044,300044,TMMTX,20,BO Oct 12 2021,GWF7,A2908,12377,12377,12384,12384,11088,11088,6907,6907,8686,8686,8668,8668,8672,8672,5558,5558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,377","2,475",5.00,130,N,N,-,No,#REF!
Misc,PC,USA,N,TMMG1,480A,Tundra,731310C02000,U044,300044,TMMTX,50,BO Oct 12 2021,G3W2,A3037,578,578,574,574,503,503,789,789,1027,1027,1035,1035,1035,1035,665,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,116,5.00,2,N,N,-,No,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732100C150B1,U044,300044,TMMTX,6,BO Oct 12 2021,GYS9,A4074-138B,107,107,103,103,93,93,75,75,91,91,86,86,87,87,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,21,5.00,4,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732100C150C1,U044,300044,TMMTX,6,BO Oct 12 2021,GYT0,A4074-201B,2492,2492,2499,2499,2066,2066,1992,1992,2573,2573,2581,2581,2589,2589,1652,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,492",498,5.00,87,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732100C150E1,U044,300044,TMMTX,6,BO Oct 12 2021,GYT2,A4074-457B,10,10,9,9,5,5,15,15,14,14,13,13,6,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5.00,0,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732100C150C2,U044,300044,TMMTX,6,BO Oct 12 2021,GYT1,A4074-F2K4,13,13,10,10,9,9,14,14,7,7,5,5,3,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5.00,1,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732200C150B1,U044,300044,TMMTX,6,BO Oct 12 2021,GYT3,A4075-138B,107,107,103,103,93,93,75,75,91,91,86,86,87,87,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,21,5.00,4,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732200C150C1,U044,300044,TMMTX,6,BO Oct 12 2021,GYT4,A4075-201B,2492,2492,2499,2499,2066,2066,1992,1992,2573,2573,2581,2581,2589,2589,1652,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,492",498,5.00,87,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732200C150E1,U044,300044,TMMTX,6,BO Oct 12 2021,GYT6,A4075-457B,10,10,9,9,5,5,15,15,14,14,13,13,6,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5.00,0,N,N,-,Yes,#REF!
D11APF,F35,USA,Y,TMMG1,480A,Tundra,732200C150C2,U044,300044,TMMTX,6,BO Oct 12 2021,GYT5,A4075-F2K4,13,13,10,10,9,9,14,14,7,7,5,5,3,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5.00,1,N,N,-,Yes,#REF!
D10,F25,USA,Y,TMMG1,480A,Tundra,733600C072B2,U044,300044,TMMTX,10,BO Oct 12 2021,GF19,7V1107-707,65,65,53,53,69,69,57,57,89,89,79,79,81,81,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,13,5.00,1,N,N,-,Yes,#REF!
D10,F25,USA,Y,TMMG1,480A,Tundra,733600C072C2,U044,300044,TMMTX,10,BO Oct 12 2021,GF20,7V1100-707,1089,1089,1095,1095,935,935,1518,1518,1964,1964,1983,1983,1982,1982,1285,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,089",218,5.00,23,N,N,-,Yes,#REF!
D10,F25,USA,Y,TMMG1,480A,Tundra,733600C072E2,U044,300044,TMMTX,10,BO Oct 12 2021,GF22,7V1104-707,2,2,0,0,3,3,4,4,0,0,8,8,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5.00,0,N,N,-,Yes,#REF!
B15,C30,USA,Y,TMMG1,480A,Tundra,730400C031B0,U044,300044,TMMTX,32,BO Oct 12 2021,GF07,7M9007-701,32,32,26,26,34,34,28,28,45,45,40,40,40,40,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,5.00,0,N,N,-,Yes,#REF!
B15,C30,USA,Y,TMMG1,480A,Tundra,730400C031C0,U044,300044,TMMTX,32,BO Oct 12 2021,GF08,7M9000-701,544,544,547,547,467,467,759,759,982,982,991,991,991,991,643,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,109,5.00,4,N,N,-,Yes,#REF!
