,Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
7V2073-707-E1F47,7V2073-707-E1,F47,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2077-707F47,7V2077-707,F47,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2077-707-C4F47,7V2077-707-C4,F47,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1073-707F48,7V1073-707,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1073-707-E1F48,7V1073-707-E1,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1077-707F48,7V1077-707,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1077-707-C3F48,7V1077-707-C3,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1071-707F48,7V1071-707,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1074-707-A0F48,7V1074-707-A0,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1074-707-A1F48,7V1074-707-A1,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V1079-707F48,7V1079-707,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2074-707-A0F48,7V2074-707-A0,F48,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2074-707-A3F48,7V2074-707-A3,F48,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2071-707F48,7V2071-707,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2079-707F48,7V2079-707,F48,,,,,,,0,0,128.9,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2070-707-C3F49,7V2070-707-C3,F49,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V2070-707-C3F4A,7V2070-707-C3,F4A,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1070-707-C4F4A,7V1070-707-C4,F4A,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!,#DIV/0!, , , , ,
7V2070-707-C3F4B,7V2070-707-C3,F4B,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
7V1480-707F4C,7V1480-707,F4C,,,,,,,0,0,107.4,0.0,0.0,#DIV/0!,,1, 1.00 , 0.50 ,7.28,110%,#DIV/0!, , , , , ,
