Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
ATS,7V1144-701,C029,B15,C30,QSL256,0,0,16,16,0,32,16,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
ATS,7V1157-701,C029,B15,C30,QSL257,32,40,48,0,48,48,96,64,80,64,64,80,96,115,96,77,96,96,96,96,96,58,96,0
ATS,7V1150-701,C029,B15,C30,QSL258,64,80,128,16,96,64,64,80,96,64,48,64,64,58,48,38,48,48,48,48,48,29,48,0
ATS,7V1154-701,C029,B15,C30,QSL259,0,0,16,0,0,16,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS,7M5077-707,C029,D6,F07,QSL250,12,15,18,0,12,30,66,48,60,54,60,78,66,90,75,60,75,75,75,75,75,45,75,0
ATS,7M5074-707,C029,D6,F07,QSL251,0,0,0,6,0,6,0,0,0,0,0,6,0,4,3,2,3,3,3,3,3,2,3,0
ATS,7V2407-701,C029,B15,CF7,1QS515,738,925,945,153,963,1152,1251,1170,1386,1152,909,1152,1395,1318,1098,878,1098,1098,1098,1098,1098,659,1098,1098
ATS,7V2400-701,C029,B15,CF7,1QS516,1809,2260,2547,414,2133,2601,3267,2673,3195,2637,2097,2628,3105,3138,2615,2092,2615,2615,2615,2615,2615,1569,2615,2615
ATS,7V2404-701,C029,B15,CF7,1QS517,342,430,504,81,171,360,405,306,342,297,288,333,387,464,387,310,387,387,387,387,387,232,387,387
ATS,7M5294-707,C029,SIR,F51,3QS602,110,140,160,30,70,90,100,100,110,90,70,90,110,150,125,100,125,125,125,125,125,75,125,125
ATS,7M5297-707,C029,SIR,F51,3QS600,340,425,410,60,440,410,480,410,500,430,330,450,570,576,480,384,480,480,480,480,480,288,480,480
