Part,Cust #,8/2/2021,8/9/2021,8/16/2021,8/23/2021,8/30/2021,9/6/2021,9/13/2021,9/20/2021,9/27/2021,10/4/2021,10/11/2021,10/18/2021,10/25/2021,11/1/2021,11/8/2021,11/15/2021,11/22/2021,11/29/2021,12/6/2021,12/13/2021,12/20/2021,12/27/2021,1/3/2022,1/10/2022
7V2077-707,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V1071-707-C1,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V2071-707-C1,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V1074-707-A1,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V2074-707-A3,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V2079-707-D1,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V1079-707-D1,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V1920-707,U006,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V2760-707,U006,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V2070-707-C3,U006,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49
7V2070-707-C3,U092,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49,F49
7V2210-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V2214-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V1210-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V1214-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V2211-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V1211-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V1750-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V1758-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V2750-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V2758-707,C007,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60,F60
7V2500-707,C028,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33
7V2504-707,C028,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33
7V2507-707,C028,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33
7V1500-707,C028,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33
7V1504-707,C028,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33
7V1507-707,C028,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33,F33
7V2420-707,U006,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13
7V2420-707,C007,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13,F13
7V1420-707,C007,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15
7V1420-707,U006,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15,F15
A4074-138B,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4074-201B,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4074-457B,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4074-F2K4,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4075-138B,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4075-201B,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4075-457B,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
A4075-F2K4,U044,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
7V1127-707,C028,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
7V1120-707,C028,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
7V1124-707,C028,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
7V2127-707,C028,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
7V2120-707,C028,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35,F35
