7,,Part No.,Cell,Cust,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc
8,,,,,(sec/pc),,,,,
157,7V2490-707F55C028,7V2490-707,F55,C028,41.637883120677905,21.489941560338952, , , , 
158,7V2494-707F55C028,7V2494-707,F55,C028,41.637883120677905,21.489941560338952, , , , 
159,7V2497-707F51C028,7V2497-707,F51,C028,41.637883120677905,21.489941560338952, , , , 
160,7V2780-707F56C028,7V2780-707,F56,C028,44.9378831206779,23.13994156033895, , , , 
161,7V2784-707F56C028,7V2784-707,F56,C028,44.9378831206779,23.13994156033895, , , , 
162,7V2787-707F56C028,7V2787-707,F56,C028,44.9378831206779,23.13994156033895, , , , 
163,7V1490-707F56C028,7V1490-707,F56,C028,41.637883120677905,21.489941560338952, , , , 
164,7V1494-707F57C028,7V1494-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
165,7V1497-707F57C028,7V1497-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
166,7V1510-707F57C028,7V1510-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
167,7V1514-707F57C028,7V1514-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
168,7V1517-707F57C028,7V1517-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
169,7V1530-707F57C028,7V1530-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
170,7V1534-707F57C028,7V1534-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
171,7V1537-707F57C028,7V1537-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
172,7V2510-707F57C028,7V2510-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
173,7V2514-707F57C028,7V2514-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
174,7V2517-707F57C028,7V2517-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
175,7V2530-707F57C028,7V2530-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
176,7V2534-707F57C028,7V2534-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
177,7V2537-707F57C028,7V2537-707,F57,C028,43.340306253895704,44.6823062538957, , , , 
178,7V1780-707F57C028,7V1780-707,F57,C028,46.6403062538957,47.9823062538957, , , , 
179,7V1784-707F57C028,7V1784-707,F57,C028,46.6403062538957,47.9823062538957, , , , 
180,7V1787-707F57C028,7V1787-707,F57,C028,46.6403062538957,47.9823062538957, , , , 
181,7V1610-707F58C028,7V1610-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
182,7V1614-707F58C028,7V1614-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
183,7V1616-707F58C028,7V1616-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
184,7V1617-707F58C028,7V1617-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
185,7V1624-707F58C028,7V1624-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
186,7V1626-707F58C028,7V1626-707,F58,C028, ,79.47866666666668,106.56800000000003,98.26666666666667, , 
187,7V1627-707F58C028,7V1627-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
188,7V2610-707F58C028,7V2610-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
189,7V2614-707F58C028,7V2614-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
190,7V2616-707F58C028,7V2616-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
191,7V2617-707F58C028,7V2617-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
192,7V2624-707F58C028,7V2624-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
193,7V2626-707F58C028,7V2626-707,F58,C028, ,79.47866666666668,106.56800000000003,98.26666666666667, , 
194,7V2627-707F58C028,7V2627-707,F58,C028, ,85.90719093210082,112.99652426543416,104.6951909321008, , 
195,7M5330-707F58C028,7M5330-707,F58,C028, ,86.10885759876747,91.48602426543412,92.22852426543415, , 
196,7M5334-707F58C028,7M5334-707,F58,C028, ,86.10885759876747,91.48602426543412,92.22852426543415, , 
197,7M5337-707F58C028,7M5337-707,F58,C028, ,86.10885759876747,91.48602426543412,92.22852426543415, , 
198,7M5344-707F58C028,7M5344-707,F58,C028, ,86.10885759876747,91.48602426543412,92.22852426543415, , 
199,7M5347-707F58C028,7M5347-707,F58,C028, ,86.10885759876747,91.48602426543412,92.22852426543415, , 
200,7V2420-707F13U006,7V2420-707,F13,U006,40.76983311159433,46.76941644492767, , , , 
201,7V2420-707F13C007,7V2420-707,F13,C007,40.76983311159433,46.76941644492767, , , , 
202,7V1420-707F15C007,7V1420-707,F15,C007,40.76983311159433,46.76941644492767, , , , 
203,7V1420-707F15U006,7V1420-707,F15,U006,40.76983311159433,46.76941644492767, , , , 
204,7V2420-707F16U006,7V2420-707,F16,U006,40.76983311159433,46.76941644492767, , , , 
205,7V1420-707F16U006,7V1420-707,F16,U006,40.76983311159433,46.76941644492767, , , , 
206,7V1073-707F48C007,7V1073-707,F48,C007, , ,89.709, , , 
207,7M5240-707F52C043,7M5240-707,F52,C043, ,70.21300000000001,74.79450000000001,92.4, , 
208,7M5240-707F52U013,7M5240-707,F52,U013, ,70.21300000000001,74.79450000000001,92.4, , 
209,7V2710-701MF3U093,7V2710-701,MF3,U093, ,78.36832895888014,72.31832895888014, , , 
210,7V1710-701MF3U093,7V1710-701,MF3,U093, ,78.36832895888014,72.31832895888014, , , 
211,7V1730-701MF3U093,7V1730-701,MF3,U093, ,70.66832895888015,70.66832895888015, , , 
212,7V1720-701MF3U093,7V1720-701,MF3,U093, ,70.66832895888015,70.66832895888015, , , 
213,7V1077-707F48C007,7V1077-707,F48,C007,32.010000000000005,, , , , 
214,7V2073-707F48C007,7V2073-707,F48,C007,40.535000000000004,, , , , 
215,7V1590-707-C3F4EC028,7V1590-707-C3,F4E,C028,45.84946133682831, , , , , 
216,7V1594-707-A1F4EC028,7V1594-707-A1,F4E,C028,45.84946133682831, , , , , 
217,7V1597-707-B1F4EC028,7V1597-707-B1,F4E,C028,45.84946133682831, , , , , 
218,7V1604-707-A1F4EC028,7V1604-707-A1,F4E,C028,39.24946133682831, , , , , 
219,7V1607-707-B1F4EC028,7V1607-707-B1,F4E,C028,39.24946133682831, , , , , 
220,7V2590-707-C3F4FC028,7V2590-707-C3,F4F,C028,39.24946133682831, , , , , 
221,7V2594-707-A1F4FC028,7V2594-707-A1,F4F,C028,39.24946133682831, , , , , 
222,7V2597-707-B1F4FC028,7V2597-707-B1,F4F,C028,39.24946133682831, , , , , 
223,7V2604-707-A1F4FC028,7V2604-707-A1,F4F,C028,39.24946133682831, , , , , 
224,7V2607-707-B1F4FC028,7V2607-707-B1,F4F,C028,39.24946133682831, , , , , 
225,7V1770-707F4EU050,7V1770-707,F4E,U050,38.038000000000004, , , , , 
226,7V2070-707-C3F4FU050,7V2070-707-C3,F4F,U050,30.338, , , , , 
227,7V2710-707F4GU092,7V2710-707,F4G,U092,52.97878048780488,61.22878048780488, , , , 
228,7V2720-707F4GU092,7V2720-707,F4G,U092,52.97878048780488,61.22878048780488, , , , 
229,7V1710-707F4GU092,7V1710-707,F4G,U092,60.12878048780489,61.22878048780488, , , , 
230,7V1720-707F4GU092,7V1720-707,F4G,U092,60.12878048780489,61.22878048780488, , , , 
231,7V2400-701-C0CF7U013,7V2400-701-C0,CF7,U013,49.88369791312484,50.92429791312484,51.100297913124834,, , 
232,7V2400-701CF7C029,7V2400-701,CF7,C029,49.88369791312484,50.92429791312484,51.100297913124834,, , 
233,7V2404-701CF7C029,7V2404-701,CF7,C029,49.88369791312484,50.92429791312484,51.100297913124834,, , 
234,7V2407-701CF7C029,7V2407-701,CF7,C029,49.88369791312484,50.92429791312484,51.100297913124834,, , 
235,7V2400-701CF7C033,7V2400-701,CF7,C033,49.88369791312484,50.92429791312484,51.100297913124834,, , 
236,7V2404-701CF7C033,7V2404-701,CF7,C033,49.88369791312484,50.92429791312484,51.100297913124834,, , 
237,7V2407-701CF7C033,7V2407-701,CF7,C033,49.88369791312484,50.92429791312484,51.100297913124834,, , 
238,7V2400-701-C0CF7C043,7V2400-701-C0,CF7,C043,49.88369791312484,50.92429791312484,51.100297913124834,, , 
239,7V1930-7011CF7U013,7V1930-7011,CF7,U013,53.57000000000001,54.054,55.01100000000001,, , 
240,A1630-201BC30U014,A1630-201B,C30,U014, ,53.35719213746421,58.648192137464214,61.45685880413088, , 
241,A1531-201BC30U014,A1531-201B,C30,U014, ,55.70165880413088,60.29819213746421,65.32885880413087, , 
242,A1518-201BC30U014,A1518-201B,C30,U014, ,55.679658804130874,59.695392137464204,60.928858804130876, , 
243,A1393-138BC30C029,A1393-138B,C30,C029,35.433084994607064,37.99647785174992, , , , 
244,A1393-201BC30C029,A1393-201B,C30,C029,35.433084994607064,37.99647785174992, , , , 
245,A1393-457BC30C029,A1393-457B,C30,C029,35.433084994607064,37.99647785174992, , , , 
246,7M9090-701C30C029,7M9090-701,C30,C029,34.63351594698801,36.65322070889278,51.53873499460707, , , 
247,7M9094-701C30C029,7M9094-701,C30,C029,34.63351594698801,36.65322070889278,51.53873499460707, , , 
248,7M9097-701C30C029,7M9097-701,C30,C029,34.63351594698801,36.65322070889278,51.53873499460707, , , 
249,7M5077-701C30C029,7M5077-701,C30,C029,44.81550880413088,50.18149213746421,48.73114213746421, , , 
250,7M5074-701C30C029,7M5074-701,C30,C029,44.81550880413088,50.18149213746421,48.73114213746421, , , 
251,7V1147-701C30C029,7V1147-701,C30,C029,44.409608804130876,49.369692137464206,47.51344213746421, , , 
252,7V1140-701C30C029,7V1140-701,C30,C029,44.409608804130876,49.369692137464206,47.51344213746421, , , 
253,7V1144-701C30C029,7V1144-701,C30,C029,44.409608804130876,49.369692137464206,47.51344213746421, , , 
254,7V1157-701C30C029,7V1157-701,C30,C029,44.409608804130876,49.369692137464206,47.51344213746421, , , 
255,7V1150-701C30C029,7V1150-701,C30,C029,44.409608804130876,49.369692137464206,47.51344213746421, , , 
256,7V1154-701C30C029,7V1154-701,C30,C029,44.409608804130876,49.369692137464206,47.51344213746421, , , 
257,7M9000-701C30U044,7M9000-701,C30,U044,22.440683804130874,22.949525470797543, , , , 
258,7M9004-701C30U044,7M9004-701,C30,U044,22.440683804130874,22.949525470797543, , , , 
259,7M9007-701C30U044,7M9007-701,C30,U044,22.440683804130874,22.949525470797543, , , , 
260,7V1107-701C30U044,7V1107-701,C30,U044,22.26576547079754,22.68200547079754, , , , 
