,Cell,Part,Cust,Cust #,Prog #,Prog,,Part1,Parent Cell,Parent Part,,1,2,3,4,5,6,7
F44A1507-105BU044,F44,A1507-105B,TMMTX,U044,989A,TACOMA,D13,A1507,AA06,,,,71.33925358,76.17925358,74.49258691,,,
F44A1507-105BU041,F44,A1507-105B,TMMBC,U041,989A,TACOMA,D13,A1507,AA06,,,,71.33925358,76.17925358,74.49258691,,,
F44A1507-105BU070,F44,A1507-105B,TMMGT,U070,774B,TACOMA,D13,A1507,AA06,,,,71.33925358,76.17925358,74.49258691,,,
F44A1516-146BU006,F44,A1516-146B,TMMC,U006,760A,LEXUS RX,D13,A1516,S3A,,,,89.46358691,89.70925358,93.55925358,,,
F44A1516-201BU006,F44,A1516-201B,TMMC,U006,760A,LEXUS RX,D13,A1516,S3A,,,,89.46358691,89.70925358,93.55925358,,,
F44A1516-008BU006,F44,A1516-008B,TMMC,U006,685B,LEXUS RX,D13,A1516,S3A,,,,88.92851453,89.1741812,93.0241812,,,
F44A1529-008BU006,F44,A1529-008B,TMMC,U006,685B,LEXUS RX,D13,A1529,AA06,,,,85.1041812,89.1741812,93.0241812,,,
F44A1529-146BU006,F44,A1529-146B,TMMC,U006,760A,LEXUS RX,D13,A1529,AA06,,,,85.63925358,89.70925358,93.55925358,,,
F44A1529-201BU006,F44,A1529-201B,TMMC,U006,760A,LEXUS RX,D13,A1529,AA06,,,,85.63925358,89.70925358,93.55925358,,,
F447V1740-707C007,F44,7V1740-707,TMMK,C007,947B,LEXUS ES,D13,7V174,AA06,,,,89.46358691,89.70925358,93.55925358,,,
F447V1740-707-C3C007,F44,7V1740-707-C3,TMMK,C007,985B,LEXUS ES,D13,7V174,AA06,,,,89.46358691,89.70925358,93.55925358,,,
F447V1743-707C007,F44,7V1743-707,TMMK,C007,947B,LEXUS ES,D13,7V174,AA06,,,,89.46358691,89.70925358,93.55925358,,,
F447V1748-707C007,F44,7V1748-707,TMMK,C007,947B,LEXUS ES,D13,7V174,AA06,,,,89.46358691,89.70925358,93.55925358,,,
F447V2740-707C007,F44,7V2740-707,TMMK,C007,947B,LEXUS ES,D13,7V274,AA06,,,,85.63925358,89.70925358,93.55925358,,,
F447V2740-707-C3C007,F44,7V2740-707-C3,TMMK,C007,985B,LEXUS ES,D13,7V274,AA06,,,,85.63925358,89.70925358,93.55925358,,,
F447V2743-707C007,F44,7V2743-707,TMMK,C007,947B,LEXUS ES,D13,7V274,AA06,,,,85.63925358,89.70925358,93.55925358,,,
F447V2748-707C007,F44,7V2748-707,TMMK,C007,947B,LEXUS ES,D13,7V274,AA06,,,,85.63925358,89.70925358,93.55925358,,,
F44Service,F44,Service,0.01,,,,,,,,,,89.46358691,89.70925358,93.55925358,,,
F457V1390-707-C3U006,F45,7V1390-707-C3,TMMC,U006,320B,RAV4,D13,7V139,S3A,,,39.48582388,,,,,,
F457V1390-707-C3C007,F45,7V1390-707-C3,TMMK,C007,981B,RAV4,D13,7V139,S3A,,,39.48582388,,,,,,
F45Service,F45,Service,0.01,,,,,,,,,39.48582388,,,,,,
F467V1074-707-A0C007,F46,7V1074-707-A0,TMMK,C007,010B,CAMRY,,7V107,AA06,,,40.1,,,,,,
F467V1070-707-C4C007,F46,7V1070-707-C4,TMMK,C007,010B,CAMRY,D13,7V107,AA06,,,40.1,,,,,,
F46Service,F46,Service,0.01,,,,,,,,,40.1,,,,,,
F477V2070-707-C3C007,F47,7V2070-707-C3,TMMK,C007,010B,CAMRY,D13,7V207,AA06,,,33.7,,,,,,
F47Service,F47,Service,0.01,,,,,,,,,33.7,,,,,,
F477V2073-707C007,F47,7V2073-707,TMMK,C007,370B,AVALON,,,,,,32.01868538,,,,,,
F477V2077-707C007,F47,7V2077-707,TMMK,C007,370B,AVALON,,,,,,32.01868538,,,,,,
F487V1073-707C007,F48,7V1073-707,TMMK,C007,370B,AVALON,D13,7V107,AA06,,,63.39744386,,,,,,
F487V1077-707C007,F48,7V1077-707,TMMK,C007,370B,AVALON,D13,7V107,AA06,,,63.39744386,,,,,,
