Tech,Cell,Destination,Cdn Holiday BA,Dock code,PROGRAM,Vehicle,Cust part #,CUST #,BPCS#,Dest,QPC,Misc,Back no,QSS Item,CF0906,AF0906,CF0913,AF0913,CF0920,AF0920,CF0927,AF0927,CF1004,AF1004,CF1011,AF1011,CF1018,AF1018,CF1025,AF1025,CF1101,AF1101,CF1108,AF1108,CF1115,AF1115,CF1122,AF1122,CF1129,AF1129,CF1206,AF1206,CF1213,AF1213,CF1220,AF1220,CF1227,AF1227,CF0103,AF0103,CF0110,AF0110,CF0117,AF0117,CF0124,AF0124,CF0131,AF0131,CF0207,AF0207,CF0214,AF0214,1 week dem,Daily hej level,1 week WD,1 day PINK,DLN,Batch ordering,Status,On heijunka,Part# check
Misc,Misc,Mex,N,TRMX,-,-,7P5034-0010,U455,340055,TRMX,4200,-,S0YE-L,7P5034-0010,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,3360,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5037-0010,U455,340055,TRMX,4200,-,S0YF-L,7P5037-0010,4200,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,4200,0,0,4200,4200,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5044-0010,U455,340055,TRMX,4200,-,S0YG-L,7P5044-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5047-0010,U455,340055,TRMX,4200,-,S0YH-L,7P5047-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3080-0010,U455,340055,TRMX,4200,-,S0Z2-L,7V3080-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,4200,0,0,0,0,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3084-0010,U455,340055,TRMX,4200,-,S0YJ-L,7V3084-0010,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3086-0010,U455,340055,TRMX,4200,-,S0YK-L,7V3086-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3087-0010,U455,340055,TRMX,4200,-,S0YL-L,7V3087-0010,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,4200,0,0,0,0,4200,3360,0,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3094-0010,U455,340055,TRMX,4200,-,S0YM-L,7V3094-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7V3096-0010,U455,340055,TRMX,4200,-,S0YN-L,7V3096-0010,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,No,#REF!
